column0,selfRM,type,UT,MOD,TRIG,HZ,SEPS,ANGS,AMPS,ts,fps,emGain,exptime,l_selfRM,l_fps,l_SEPS,l_ANGS,l_AMPS,l_MOD,Target,target,spec_type,Gia_G,G-V,V-Ic,I_c,I_c_wave,mag_V,wav_V,mag_I,wav_I
21,selfRM_20230317_0354_HD95086.fits,SKY,2023-03-17 3:53:37,TRUE,TRUE,,20,0,0.02,2023-03-17 3:53:36,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
22,selfRM_20230317_0411_HD95086.fits,SKY,2023-03-17 4:14:27,TRUE,TRUE,,20,0,0.02,2023-03-17 4:14:25,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
23,selfRM_20230317_0426_HD95086.fits,SKY,2023-03-17 4:28:57,TRUE,TRUE,,20,0,0.02,2023-03-17 4:28:56,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
24,selfRM_20230317_0432_HD95086.fits,SKY,2023-03-17 4:34:56,TRUE,TRUE,,20,0,0.02,2023-03-17 4:34:54,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
25,selfRM_20230317_0440_HD95086.fits,SKY,2023-03-17 4:42:36,TRUE,TRUE,,20,0,0.02,2023-03-17 4:42:35,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
26,selfRM_20230317_0447_HD95086.fits,SKY,2023-03-17 4:50:16,TRUE,TRUE,,20,0,0.02,2023-03-17 4:50:14,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
27,selfRM_20230317_0457_HD95086.fits,SKY,2023-03-17 4:59:46,TRUE,TRUE,,20,0,0.02,2023-03-17 4:59:44,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
28,selfRM_20230317_0723_HD95086.fits,SKY,2023-03-17 7:23:46,TRUE,TRUE,,20,0,0.02,2023-03-17 7:23:45,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
20,selfRM_20230316_HD95086_spark_020amps_15seps.fits,SKY,2023-03-16 7:02:33,TRUE,TRUE,,15,0,0.02,2023-03-16 7:02:26,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,1800,15,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
12,selfRM_20230312_13_HR2562_sep15_amp_02.fits,SKY,2023-03-13 2:20:16,TRUE,TRUE,,15,0,0.02,2023-03-13 2:20:06,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,1800,15,0,0.02,TRUE,HR2562,HR2562,F5VFe,6.004305,-0.11,0.506,5.608305,786.5,6.098,551,,
13,selfRM_20230312_13_HR2562_sep15_amp_02_05gains.fits,SKY,2023-03-13 2:25:26,TRUE,TRUE,,15,0,0.02,2023-03-13 2:25:24,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,1800,15,0,0.02,TRUE,HR2562,HR2562,F5VFe,6.004305,-0.11,0.506,5.608305,786.5,6.098,551,,
4,selfRM_20230309_10_HR4796a_sparkles.fits,SKY,2023-03-10 7:51:17,TRUE,TRUE,,15,0,0.02,2023-03-10 7:51:15,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,1800,15,0,0.02,TRUE,HR4796a,HR4796a,A0V,5.783168,0.015,0.004,5.764168,786.5,5.774,551,5.81,806
1,selfRM_20230304_05_piPup_sparkles_triggered.fits,SKY,2023-03-05 5:18:55,TRUE,TRUE,,20,0,0.05,2023-03-05 5:18:54,1800,15,0,selfRM_20230315_LAB_spark_1800_050amps_20seps_1Hz.fits,1800,20,0,0.05,TRUE,piPup,piPup,K4III,1.9705,-0.42,1.182,1.2085,786.5,2.7,551,0.55,806
0,selfRM_20230304_05_piPup_sparkles_nottriggered.fits,SKY,2023-03-05 5:24:16,TRUE,FALSE,1799.821533,20,0,0.05,2023-03-05 5:24:14,1800,15,0,selfRM_20230315_LAB_spark_1800_050amps_20seps_1Hz.fits,1800,20,0,0.05,TRUE,piPup,piPup,K4III,1.9705,-0.42,1.182,1.2085,786.5,2.7,551,0.55,806
10,selfRM_20230311_12_TWA7_sparkles_sep15_amp02.fits,SKY,2023-03-12 3:01:06,TRUE,TRUE,,15,0,0.02,2023-03-12 3:01:05,1200,600,0,selfRM_20230311_12_LAB_spark_1200_020amps_20seps.fits,1200,20,0,0.02,TRUE,TWA7,TWA7,M2Ve,10.642358,-0.925,2.173,9.394358,786.5,10.91,551,9.1,806
32,selfRM_20221211_12_TYC4865-1113-1_001.fits,SKY,2022-12-11 2:21:36,TRUE,TRUE,,20,0,0.015,2022-12-11 2:21:35,1800,600,0,selfRM_20221211_12_LAB_008.fits,1800,20,0,0.015,TRUE,TYC4685-1113-1,TYC4685-1113-1,K0,9.311988,-0.227,0.853,8.685988,786.5,9.55,551,,
34,selfRM_20221211_12_TYC4865-1113-1_002.fits,SKY,2022-12-11 2:24:26,TRUE,TRUE,,20,0,0.015,2022-12-11 2:24:24,1800,600,0,selfRM_20221211_12_LAB_008.fits,1800,20,0,0.015,TRUE,TYC4685-1113-1,TYC4685-1113-1,K0,9.311988,-0.227,0.853,8.685988,786.5,9.55,551,,
