,UT,MJD,name,target,mag_I_c,dimm_fwhm,el,dimm_mod,fps,loopgain,gains,n_modes,selfRM_SKY,selfRM_LAB,OG,OG_StandErr
9,2023-03-11 03:29:54,60014.146,HD72946 J60014.146,HD72946,6.439851,0.77,49.1009,0.9108033372261892,1800.0,1.0,"[0.7, 0.7, 0.65, 0.4, 0.35, 0.35, 0.35, 0.21, 0.197393, 0.20556, 0.196409, 0.19993, 0.199238, 0.203117, 0.103644]",1564,selfRM_20230310_11_trig_sparkles_HD72946b_15ld_05.fits,selfRM_20230315_LAB_spark_1800_050amps_15seps.fits,0.5658643841743469,0.003280117962289235
10,2023-03-11 03:32:47,60014.148,HD72946 J60014.148,HD72946,6.439851,0.74,48.751,0.8781173164207345,1800.0,1.0,"[0.7, 0.7, 0.65, 0.4, 0.35, 0.35, 0.35, 0.21, 0.197393, 0.20556, 0.196409, 0.19993, 0.199238, 0.193117, 0.093644]",1564,selfRM_20230310_11_no_sparkles_HD72946b.fits,selfRM_20230311_12_LAB_noSpark_1800_fullgains.fits,0.566309928894043,0.002887562479024974
11,2023-03-11 03:35:57,60014.15,HD72946 J60014.15,HD72946,6.439851,0.63,48.3583,0.7503060346559203,1800.0,0.2,"[0.7, 0.7, 0.65, 0.4, 0.35, 0.35, 0.35, 0.21, 0.197393, 0.20556, 0.196409, 0.19993, 0.199238, 0.193117, 0.093644]",1564,selfRM_20230310_11_no_sparkles_HD72946b_lower_gain_02.fits,selfRM_20230311_12_LAB_noSpark_1800_fullgains.fits,0.5671563744544983,0.0029254626820136302
24,2023-03-17 03:53:37,60020.162,HD95086 J60020.162,HD95086,7.076375,0.9,50.2114,1.0541111562854721,1800.0,1.5,"[0.6, 0.5, 0.35, 0.35, 0.3, 0.3, 0.25, 0.2, 0.15, 0.05, 0.1, 0.2, 0.1, 0.1, 0.05]",1564,selfRM_20230317_0354_HD95086.fits,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,0.5892693996429443,0.0024245336616506553
14,2023-03-13 02:25:26,60016.101,HR2562 J60016.101,HR2562,5.608305,0.81,51.5089,0.9382664892115463,1800.0,0.5,"[0.65, 0.65, 0.35, 0.25, 0.3, 0.25, 0.2, 0.2, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.05]",1564,selfRM_20230312_13_HR2562_sep15_amp_02_05gains.fits,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,0.6371957659721375,0.002159945958384914
31,2023-03-17 07:23:46,60020.308,HD95086 J60020.308,HD95086,7.076375,0.73,40.8522,0.9417429682280148,1800.0,1.0,"[0.6, 0.65, 0.35, 0.3, 0.3, 0.25, 0.25, 0.25, 0.2, 0.2, 0.15, 0.15, 0.15, 0.15, 0.1]",1564,selfRM_20230317_0723_HD95086.fits,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,0.6519778370857239,0.0025188007264089155
16,2023-03-13 10:20:47,60016.431,HD144271 J60016.431,HD144271,6.737597,0.51,61.4601,0.5512259831619287,1800.0,1.0,"[0.65, 0.65, 0.35, 0.25, 0.3, 0.25, 0.2, 0.2, 0.15, 0.15, 0.15, 0.15, 0.1, 0.1, 0.05]",1564,selfRM_20230312_13_PSF-HD144271_sep13_amp02.fits,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,0.680129885673523,0.0027182381275205995
5,2023-03-05 05:24:16,60008.225,piPup J60008.225,piPup,1.2085,0.75,37.1095,1.015602813519944,1800.0,1.0,"[0.7, 0.7, 0.55, 0.55, 0.4, 0.35, 0.25, 0.25, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.15]",1564,selfRM_20230304_05_piPup_sparkles_nottriggered.fits,selfRM_20230315_LAB_spark_1800_050amps_20seps_1Hz.fits,0.6954755783081055,0.001802945397406681
13,2023-03-13 02:20:16,60016.097,HR2562 J60016.097,HR2562,5.608305,0.81,52.0016,0.93445856153142,1800.0,1.0,"[0.65, 0.65, 0.35, 0.25, 0.3, 0.25, 0.2, 0.2, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.05]",1564,selfRM_20230312_13_HR2562_sep15_amp_02.fits,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,0.7169721722602844,0.0019288596680709076
4,2023-03-05 05:18:55,60008.221,piPup J60008.221,piPup,1.2085,0.68,38.1591,0.9077792195039371,1800.0,1.0,"[0.7, 0.7, 0.55, 0.55, 0.4, 0.35, 0.25, 0.25, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.15]",1564,selfRM_20230304_05_piPup_sparkles_triggered.fits,selfRM_20230315_LAB_spark_1800_050amps_20seps_1Hz.fits,0.7240074276924133,0.0014475930080002693
6,2023-03-07 03:53:54,60010.162,BetaPic J60010.162,BetaPic,3.646242,0.7,37.3092,0.9452888570901739,1800.0,0.9,"[0.7, 0.7, 0.5, 0.3, 0.25, 0.25, 0.25, 0.25, 0.25, 0.2, 0.2, 0.2, 0.15, 0.15, 0.05]",1564,selfRM_20230305_06_betaPic_sparkles_triggered.fits,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,0.7250066995620728,0.0021876976798643373
15,2023-03-13 04:15:33,60016.177,HD106906 J60016.177,HD106906,7.303254,0.55,59.0703,0.603019689500297,1800.0,1.0,"[0.65, 0.65, 0.35, 0.25, 0.3, 0.25, 0.2, 0.2, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.05]",1564,selfRM_20230312_13_HD106906_sep15_amp_02.fits,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,0.7322599291801453,0.003360682545832429
17,2023-03-14 05:51:29,60017.244,HD100546 J60017.244,HD100546,6.666849,0.42,47.824,0.5027223110230837,1800.0,1.0,"[0.75, 0.75, 0.5, 0.35, 0.3, 0.3, 0.25, 0.25, 0.25, 0.15, 0.1, 0.1, 0.05, 0.04, 0.03]",1564,selfRM_20230313_14_HD100546_sep15_amp016.fits,selfRM_20230315_LAB_spark_1800_016amps_15seps.fits,0.7471894025802612,0.0022130360032486026
19,2023-03-16 02:50:34,60019.118,BetaPic J60019.118,BetaPic,3.646242,0.41,41.7146,0.5235113667100102,1800.0,1.0,"[0.65, 0.6, 0.35, 0.2, 0.25, 0.25, 0.15, 0.15, 0.1, 0.1, 0.1, 0.1, 0.1, 0.04, 0.03]",1564,selfRM_20230316_0250_BetaPic_spark_020amps_22seps.fits,selfRM_20230316_LAB_spark_1800_020amps_22seps_n20angs.fits,0.7930319905281067,0.0035039191704149455
18,2023-03-16 00:57:13,60019.04,BetaPic J60019.04,BetaPic,3.646242,0.58,58.5758,0.6379073157012368,1800.0,1.0,"[0.7, 0.7, 0.35, 0.25, 0.25, 0.25, 0.2, 0.15, 0.15, 0.1, 0.1, 0.1, 0.1, 0.09, 0.03]",1564,selfRM_20230316_0055_BetaPic_spark_020amps_22seps.fits,selfRM_20230316_LAB_spark_1800_020amps_22seps_n20angs.fits,0.8050181269645691,0.0033762182489986956
20,2023-03-16 03:08:44,60019.131,BetaPic J60019.131,BetaPic,3.646242,0.39,38.8475,0.5159413469745836,1800.0,1.0,"[0.65, 0.6, 0.35, 0.2, 0.25, 0.25, 0.15, 0.15, 0.1, 0.1, 0.1, 0.1, 0.1, 0.04, 0.03]",1564,selfRM_20230316_0305_BetaPic_spark_020amps_22seps.fits,selfRM_20230316_LAB_spark_1800_020amps_22seps_n20angs.fits,0.8151960968971252,0.003247427224862443
8,2023-03-10 07:51:17,60013.327,HR4796a J60013.327,HR4796a,5.764168,0.62,66.404,0.6533460837032344,1800.0,1.0,"[0.7, 0.7, 0.5, 0.4, 0.4, 0.3, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.08, 0.05]",1564,selfRM_20230309_10_HR4796a_sparkles.fits,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,0.8221638202667236,0.0018603639827393756
7,2023-03-08 02:17:37,60011.096,BetaPic J60011.096,BetaPic,3.646242,0.56,51.6348,0.6479998885816702,1800.0,0.9,"[0.8, 0.8, 0.5, 0.5, 0.35, 0.3, 0.25, 0.2, 0.1, 0.1, 0.2, 0.1, 0.05, 0.1, 0.1]",1564,selfRM_20230307_08_betaPic_sparkles_trigger_sep20_amp02.fits,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,0.8354958295822144,0.0023331299962133316
