column0,selfRM,type,UT,MOD,TRIG,HZ,SEPS,ANGS,AMPS,ts,fps,emGain,exptime,column0:1,selfRM:1,type:1,UT:1,MOD:1,TRIG:1,HZ:1,ts:1,emGain:1,exptime:1
23,selfRM_20230317_0426_HD95086.fits,SKY,2023-03-17 04:28:57,true,true,,20.0,0.0,0.02,2023-03-17 04:28:56.424789,1800.0,600.0,0.0,57,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,LAB,2023-03-15 22:52:25,true,true,,2023-03-15 22:52:22.737601,10.0,0.0
24,selfRM_20230317_0432_HD95086.fits,SKY,2023-03-17 04:34:56,true,true,,20.0,0.0,0.02,2023-03-17 04:34:53.5466,1800.0,600.0,0.0,57,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,LAB,2023-03-15 22:52:25,true,true,,2023-03-15 22:52:22.737601,10.0,0.0
25,selfRM_20230317_0440_HD95086.fits,SKY,2023-03-17 04:42:36,true,true,,20.0,0.0,0.02,2023-03-17 04:42:35.075601,1800.0,600.0,0.0,57,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,LAB,2023-03-15 22:52:25,true,true,,2023-03-15 22:52:22.737601,10.0,0.0
26,selfRM_20230317_0447_HD95086.fits,SKY,2023-03-17 04:50:16,true,true,,20.0,0.0,0.02,2023-03-17 04:50:14.084732,1800.0,600.0,0.0,57,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,LAB,2023-03-15 22:52:25,true,true,,2023-03-15 22:52:22.737601,10.0,0.0
27,selfRM_20230317_0457_HD95086.fits,SKY,2023-03-17 04:59:46,true,true,,20.0,0.0,0.02,2023-03-17 04:59:44.061607,1800.0,600.0,0.0,57,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,LAB,2023-03-15 22:52:25,true,true,,2023-03-15 22:52:22.737601,10.0,0.0
28,selfRM_20230317_0723_HD95086.fits,SKY,2023-03-17 07:23:46,true,true,,20.0,0.0,0.02,2023-03-17 07:23:44.598604,1800.0,600.0,0.0,57,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,LAB,2023-03-15 22:52:25,true,true,,2023-03-15 22:52:22.737601,10.0,0.0
1,selfRM_20230304_05_piPup_sparkles_triggered.fits,SKY,2023-03-05 05:18:55,true,true,,20.0,0.0,0.05,2023-03-05 05:18:53.932607,1800.0,15.0,0.0,53,selfRM_20230311_12_LAB_spark_1800_050amps_20seps.fits,LAB,2023-03-11 21:00:15,true,true,,2023-03-11 21:00:12.276608,1.0,0.0
0,selfRM_20230304_05_piPup_sparkles_nottriggered.fits,SKY,2023-03-05 05:24:16,true,false,1799.821533,20.0,0.0,0.05,2023-03-05 05:24:14.230601,1800.0,15.0,0.0,53,selfRM_20230311_12_LAB_spark_1800_050amps_20seps.fits,LAB,2023-03-11 21:00:15,true,true,,2023-03-11 21:00:12.276608,1.0,0.0
2,selfRM_20230305_06_betaPic_sparkles_triggered.fits,SKY,2023-03-07 03:53:54,true,true,,20.0,0.0,0.02,2023-03-07 03:53:51.490602,1800.0,100.0,0.0,52,selfRM_20230311_12_LAB_spark_1800_020amps_20seps.fits,LAB,2023-03-11 21:06:57,true,true,,2023-03-11 21:06:55.813603,1.0,0.0
3,selfRM_20230307_08_betaPic_sparkles_trigger_sep20_amp02.fits,SKY,2023-03-08 02:17:37,true,true,,20.0,0.0,0.02,2023-03-08 02:17:36.9076,1800.0,60.0,0.0,52,selfRM_20230311_12_LAB_spark_1800_020amps_20seps.fits,LAB,2023-03-11 21:06:57,true,true,,2023-03-11 21:06:55.813603,1.0,0.0
