	SR	ro	ro_scaled	err_fit	err_temp	err_phot	err_fit_nm	err_temp_nm	err_phot_nm	mag	phot_flux	n_act	n_act_across	act_across_ap	act_spacing	t_int	t_s_lag	v_wind	GW_frq	wavelegth_ro	wavelength_wfs
2	0.960902651146105	0.31764810000000004	0.6055501893563882	0.16328588234133162	0.0868259703468387	0.07537337845766691	21.050081802513088	11.193213719254263	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	10.651470536002	550	810
3	0.9527457848609251	0.27794208750000005	0.5298564156868396	0.18250520706369946	0.09704569353725058	0.07537337845766691	23.527750733800108	12.510694484110052	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	12.173109184002286	550	810
4	0.9439572930161548	0.24705963333333336	0.4709834806105241	0.20132715751161798	0.10705411611504852	0.07537337845766691	25.954191960257834	13.8009353240154	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	13.694747832002571	550	810
5	0.9345827695200258	0.22235367000000006	0.42388513254947174	0.21980299412069362	0.11687849540951359	0.07537337845766691	28.33601374677283	15.067450131309664	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	15.216386480002855	550	810
6	0.9246641662558021	0.20213970000000003	0.3853501204995197	0.23797290287822767	0.12654020000004623	0.07537337845766691	30.678396690147945	16.312993647173975	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	16.738025128003144	550	810
7	0.914240578044601	0.18529472500000005	0.35323761045789315	0.25586917905839257	0.13605640264204596	0.07537337845766691	32.98550415192685	17.53977970602409	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	18.259663776003425	550	810
8	0.9033487855199691	0.17104128461538465	0.32606548657651674	0.2735183057198283	0.14544118549149093	0.07537337845766691	35.26075020895904	18.74962371609399	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	19.781302424003712	550	810
9	0.8920236409782866	0.15882405000000002	0.3027750946781941	0.2909423665366132	0.15470629136657943	0.07537337845766691	37.50698178921638	19.944039508708965	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	21.302941072004	550	810
10	0.8802983485854607	0.14823578000000004	0.2825900883663145	0.30816003863719327	0.16386165168194056	0.07537337845766691	39.726606664124	21.124307397190414	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	22.824579720004284	550	810
11	0.8682046713728826	0.13897104375000002	0.2649282078434198	0.32518731005397405	0.1729157679467535	0.07537337845766691	41.92168593893588	22.291523357878116	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	24.34621836800457	550	810
